data_set,family,image_biomarker,consensus,benchmark_value,tolerance,your_result,difference,check,tag
configuration A,Diagnostics-initial image,Image dimension x,? 10,204,0,,,,img_dim_x_init_img
configuration A,Diagnostics-initial image,Image dimension y,? 10,201,0,,,,img_dim_y_init_img
configuration A,Diagnostics-initial image,Image dimension z,? 10,60,0,,,,img_dim_z_init_img
configuration A,Diagnostics-initial image,Voxel dimension x,? 10,0.977,0,,,,vox_dim_x_init_img
configuration A,Diagnostics-initial image,Voxel dimension y,? 10,0.977,0,,,,vox_dim_y_init_img
configuration A,Diagnostics-initial image,Voxel dimension z,? 10,3,0,,,,vox_dim_z_init_img
configuration A,Diagnostics-initial image,Mean intensity,? 10,-266,0,,,,mean_int_init_img
configuration A,Diagnostics-initial image,Minimum intensity,? 10,-1000,0,,,,min_int_init_img
configuration A,Diagnostics-initial image,Maximum intensity,? 10,3065,0,,,,max_int_init_img
configuration A,Diagnostics-interpolated image,Image dimension x,6-9,204,1,,,,img_dim_x_interp_img
configuration A,Diagnostics-interpolated image,Image dimension y,6-9,201,1,,,,img_dim_y_interp_img
configuration A,Diagnostics-interpolated image,Image dimension z,6-9,60,0,,,,img_dim_z_interp_img
configuration A,Diagnostics-interpolated image,Voxel dimension x,6-9,0.977,0,,,,vox_dim_x_interp_img
configuration A,Diagnostics-interpolated image,Voxel dimension y,6-9,0.977,0,,,,vox_dim_y_interp_img
configuration A,Diagnostics-interpolated image,Voxel dimension z,6-9,3,0,,,,vox_dim_z_interp_img
configuration A,Diagnostics-interpolated image,Mean intensity,6-9,-266,3,,,,mean_int_interp_img
configuration A,Diagnostics-interpolated image,Minimum intensity,6-9,-1000,0,,,,min_int_interp_img
configuration A,Diagnostics-interpolated image,Maximum intensity,6-9,3065,40,,,,max_int_interp_img
configuration A,Diagnostics-initial ROI,Int. mask dimension x,? 10,204,0,,,,int_mask_dim_x_init_roi
configuration A,Diagnostics-initial ROI,Int. mask dimension y,? 10,201,0,,,,int_mask_dim_y_init_roi
configuration A,Diagnostics-initial ROI,Int. mask dimension z,? 10,60,0,,,,int_mask_dim_z_init_roi
