data_set,family,image_biomarker,consensus,benchmark_value,tolerance,your_result,difference,check,tag
configuration B,Diagnostics-initial image,Image dimension x,6-9,204,0,,,,img_dim_x_init_img
configuration B,Diagnostics-initial image,Image dimension y,6-9,201,0,,,,img_dim_y_init_img
configuration B,Diagnostics-initial image,Image dimension z,6-9,60,0,,,,img_dim_z_init_img
configuration B,Diagnostics-initial image,Voxel dimension x,6-9,0.977,0,,,,vox_dim_x_init_img
configuration B,Diagnostics-initial image,Voxel dimension y,6-9,0.977,0,,,,vox_dim_y_init_img
configuration B,Diagnostics-initial image,Voxel dimension z,6-9,3,0,,,,vox_dim_z_init_img
configuration B,Diagnostics-initial image,Mean intensity,6-9,-266,0,,,,mean_int_init_img
configuration B,Diagnostics-initial image,Minimum intensity,6-9,-1000,0,,,,min_int_init_img
configuration B,Diagnostics-initial image,Maximum intensity,6-9,3065,0,,,,max_int_init_img
configuration B,Diagnostics-interpolated image,Image dimension x,6-9,100,1,,,,img_dim_x_interp_img
configuration B,Diagnostics-interpolated image,Image dimension y,6-9,99,0.8,,,,img_dim_y_interp_img
configuration B,Diagnostics-interpolated image,Image dimension z,6-9,60,0,,,,img_dim_z_interp_img
configuration B,Diagnostics-interpolated image,Voxel dimension x,6-9,2,0,,,,vox_dim_x_interp_img
configuration B,Diagnostics-interpolated image,Voxel dimension y,6-9,2,0,,,,vox_dim_y_interp_img
configuration B,Diagnostics-interpolated image,Voxel dimension z,6-9,3,0,,,,vox_dim_z_interp_img
configuration B,Diagnostics-interpolated image,Mean intensity,6-9,-270,3,,,,mean_int_interp_img
configuration B,Diagnostics-interpolated image,Minimum intensity,6-9,-1000,0,,,,min_int_interp_img
configuration B,Diagnostics-interpolated image,Maximum intensity,6-9,2257,30,,,,max_int_interp_img
configuration B,Diagnostics-initial ROI,Int. mask dimension x,6-9,204,0,,,,int_mask_dim_x_init_roi
configuration B,Diagnostics-initial ROI,Int. mask dimension y,6-9,201,0,,,,int_mask_dim_y_init_roi
configuration B,Diagnostics-initial ROI,Int. mask dimension z,6-9,60,0,,,,int_mask_dim_z_init_roi
configuration B,Diagnostics-initial ROI,Int. mask bounding box dimension x,6-9,100,0,,,,int_mask_bb_dim_x_init_roi
configuration B,Diagnostics-initial ROI,Int. mask bounding box dimension y,6-9,99,0,,,,int_mask_bb_dim_y_init_roi
configuration B,Diagnostics-initial ROI,Int. mask bounding box dimension z,6-9,26,0,,,,int_mask_bb_dim_z_init_roi
configuration B,Diagnostics-initial ROI,Morph. mask bounding box dimension x,3-5,100,0,,,,morph_mask_bb_dim_x_init_roi
configuration B,Diagnostics-initial ROI,Morph. mask bounding box dimension y,3-5,99,0,,,,morph_mask_bb_dim_y_init_roi
configuration B,Diagnostics-initial ROI,Morph. mask bounding box dimension z,3-5,26,0,,,,morph_mask_bb_dim_z_init_roi
configuration B,Diagnostics-initial ROI,Int. mask voxel count,6-9,125256,0,,,,int_mask_vox_count_init_roi
configuration B,Diagnostics-initial ROI,Morph. mask voxel count,3-5,125256,0,,,,morph_mask_vox_count_init_roi
configuration B,Diagnostics-initial ROI,Int. mask mean intensity,6-9,-46.9,0,,,,int_mask_mean_int_init_roi
configuration B,Diagnostics-initial ROI,Int. mask minimum intensity,6-9,-1000,0,,,,int_mask_min_int_init_roi
configuration B,Diagnostics-initial ROI,Int. mask maximum intensity,6-9,723,0,,,,int_mask_max_int_init_roi
configuration B,Diagnostics-interpolated ROI,Int. mask dimension x,6-9,100,1,,,,int_mask_dim_x_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask dimension y,6-9,99,0.8,,,,int_mask_dim_y_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask dimension z,6-9,60,0,,,,int_mask_dim_z_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask bounding box dimension x,6-9,49,0.2,,,,int_mask_bb_dim_x_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask bounding box dimension y,6-9,49,0.3,,,,int_mask_bb_dim_y_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask bounding box dimension z,6-9,26,0,,,,int_mask_bb_dim_z_interp_roi
configuration B,Diagnostics-interpolated ROI,Morph. mask bounding box dimension x,3-5,49,0.2,,,,morph_mask_bb_dim_x_interp_roi
configuration B,Diagnostics-interpolated ROI,Morph. mask bounding box dimension y,3-5,49,0.3,,,,morph_mask_bb_dim_y_interp_roi
configuration B,Diagnostics-interpolated ROI,Morph. mask bounding box dimension z,3-5,26,0,,,,morph_mask_bb_dim_z_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask voxel count,6-9,29842,100,,,,int_mask_vox_count_interp_roi
configuration B,Diagnostics-interpolated ROI,Morph. mask voxel count,6-9,29842,100,,,,morph_mask_vox_count_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask mean intensity,6-9,-47,0.1,,,,int_mask_mean_int_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask minimum intensity,6-9,-956,1,,,,int_mask_min_int_interp_roi
configuration B,Diagnostics-interpolated ROI,Int. mask maximum intensity,6-9,525,6,,,,int_mask_max_int_interp_roi
